video_url,title,location,lat,lng,season,episode
https://www.youtube.com/watch?v=ZJ7MzmZ3MGA,The Druids' Last Stand (Full Episode) | S14 EP4 | Time Team,,,,14,4
https://www.youtube.com/watch?v=jE8EbufmLNE,"Bridge Over The River Tees (Full Episode) | S17 EP3 | Time Team (Piercebridge, County Durham)","Piercebridge, County Durham",,,17,3
https://www.youtube.com/watch?v=fUEy0ibHMc0,"School Diggers (Full Episode) | S14 EP3 | Time Team (Hooke Court, Dorset)","Hooke Court, Dorset",,,14,3
https://www.youtube.com/watch?v=uNSFPAprEpc,"A Saintly Site (Full Episode) | S17 EP2 | Time Team (Tobermory, Isle of Mull)","Tobermory, Isle of Mull",,,17,2
https://www.youtube.com/watch?v=i_aavjEEynw,"There’s No Place Like Rome (Full Episode) | S14 EP2 | Time Team (Blacklands, Somerset)","Blacklands, Somerset",,,14,2
https://www.youtube.com/watch?v=z-1v_xUEySE,Corridors Of Power (Full Episode) | S17 EP1 | Time Team (Westminster),Westminster,,,17,1
https://www.youtube.com/watch?v=jP6eMJgaaec,Finds In The Fairway (Full Episode) | S14 EP1 | Time Team (Isle Of Man),Isle Of Man,,,14,1
https://www.youtube.com/watch?v=VHKti81YDcI,"Skeletons In The Shed (Full Episode) | S16 EP13 | Time Team (Blythburgh, Suffolk)","Blythburgh, Suffolk",,,16,13
https://www.youtube.com/watch?v=jzawKzd5fLY,"Road To The Relics (Full Episode) | S14 EP11 | Time Team (Godstone, Surrey)","Godstone, Surrey",,,14,11
https://www.youtube.com/watch?v=KiJTtSwp-JI,"The Hollow Way (Full Episode) | S16 EP12 | Time Team (Ulnaby, County Durham)","Ulnaby, County Durham",,,16,12
https://www.youtube.com/watch?v=_nnTuBXOrGI,"The Fort Of The Earls (Full Episode) | S15 EP9 | Time Team (Dungannon, Northern Ireland)","Dungannon, Northern Ireland",,,15,9
https://www.youtube.com/watch?v=pFtcouunEg4,"Mysteries Of The Mosaic (Full Episode) | S15 EP5 | Time Team (Coberley, Gloucestershire)","Coberley, Gloucestershire",,,15,5
https://www.youtube.com/watch?v=Mk8fcdnU9SI,"King John’s Lost Palace (Full Episode) | S19 EP11 | Time Team (Clipstone, Nottinghamshire)","Clipstone, Nottinghamshire",,,19,11
https://www.youtube.com/watch?v=BVXNXtIkFls,"The Monk’s Manor (Full Episode) | S13 EP7 | Time Team (Brigham, Yorkshire)","Brigham, Yorkshire",,,13,7
https://www.youtube.com/watch?v=n7KulcsWqkg,"Hermit Harbour (Full Episode) | S16 EP9 | Time Team (Looe, Cornwall)","Looe, Cornwall",,,16,9
https://www.youtube.com/watch?v=eboOPS1Isno,"Court Of The Kentish King (Full Episode) | S13 EP6 | Time Team (Eastry, Kent)","Eastry, Kent",,,13,6
